,Open,High,Low,Close,Adj Close,Volume,Return,20D_MA,50D_MA,200D_MA,Momentum,Volatility,RSI,GDP,Interest Rate,PCE,UNRATE,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,ADS_Lag1,ADS_Rolling
2021-04-30,532.8109523228237,537.8028578985305,527.0414297921317,533.1366620744977,533.1366620744977,5313014.285714285,-0.000545753910715953,530.096451532273,532.9260017903646,512.4899336315336,-2.8295502580915257,0.021504189758961713,0.0196450033043363,23368.861,0.05,15915.0,6.1,4.93,-3.16,-0.95,2.47,-2.71,0.0,0.9668165666666667,1.4064861387096774,0.4366204494111623
2021-05-01,532.8109523228237,537.8028578985305,527.0414297921317,533.1366620744977,533.1366620744977,5313014.285714285,-0.000545753910715953,530.096451532273,532.9260017903646,512.4899336315336,-2.8295502580915257,0.021504189758961713,0.0196450033043363,23368.861,0.05,15915.0,6.1,0.29,1.2,7.13,2.4,3.02,0.0,0.9668165666666667,1.4064861387096774,0.4366204494111623
2021-05-31,496.9239959716797,502.06250152587893,491.9965026855469,496.7144973754883,496.7144973754883,3346380.0,-0.0009553811846375826,508.9899443054199,519.829028137207,513.9388495025635,-10.83908383178711,0.018867001144161233,0.016931934465985655,23368.861,0.05,15950.5,5.8,0.29,1.2,7.13,2.4,3.02,0.0,0.3123540322580645,0.9668165666666667,0.8952189125448028
2021-06-01,496.9239959716797,502.06250152587893,491.9965026855469,496.7144973754883,496.7144973754883,3346380.0,-0.0009553811846375826,508.9899443054199,519.829028137207,513.9388495025635,-10.83908383178711,0.018867001144161233,0.016931934465985655,23368.861,0.05,15950.5,5.8,2.75,-0.41,-7.75,-2.04,-1.02,0.0,0.3123540322580645,0.9668165666666667,0.8952189125448028
2021-06-30,503.47091397372157,508.1163635253906,498.6754552667791,503.32409113103694,503.32409113103694,3570936.3636363638,0.0023088349283802434,496.868997816606,508.46167810613457,513.9720856406472,-11.592680289528586,0.012891297317696705,0.011136568639300749,23368.861,0.08,16183.6,5.9,2.75,-0.41,-7.75,-2.04,-1.02,0.0,0.5572433333333334,0.3123540322580645,0.6121379774193548
2021-07-01,503.47091397372157,508.1163635253906,498.6754552667791,503.32409113103694,503.32409113103694,3570936.3636363638,0.0023088349283802434,496.868997816606,508.46167810613457,513.9720856406472,-11.592680289528586,0.012891297317696705,0.011136568639300749,23368.861,0.08,16183.6,5.9,1.27,-4.59,-1.81,5.48,-0.52,0.0,0.5572433333333334,0.3123540322580645,0.6121379774193548
2021-07-31,528.6090451195126,534.298566545759,522.6180914015997,528.653330485026,528.653330485026,3677200.0,-0.0009020477074625473,523.6427153087798,507.93699887230287,516.4022421627953,15.70571643647694,0.01157929478617068,0.011484907348040514,23921.991,0.07,16223.5,5.4,1.27,-4.59,-1.81,5.48,-0.52,0.0,0.5701865806451613,0.5572433333333334,0.47992798207885307
2021-08-01,528.6090451195126,534.298566545759,522.6180914015997,528.653330485026,528.653330485026,3677200.0,-0.0009020477074625473,523.6427153087798,507.93699887230287,516.4022421627953,15.70571643647694,0.01157929478617068,0.011484907348040514,23921.991,0.07,16223.5,5.4,2.91,-0.71,-0.1,-0.22,-1.82,0.0,0.5701865806451613,0.5572433333333334,0.47992798207885307
2021-08-31,529.884540904652,535.9372669566761,526.2222747802734,532.3468170166016,532.3468170166016,2488531.8181818184,0.004395568698181044,523.0982934431596,519.502617409446,517.6527903539484,3.5956760337135942,0.011762887689533241,0.011121046587985227,23921.991,0.06,16390.6,5.1,2.91,-0.71,-0.1,-0.22,-1.82,0.0,-0.16317075516129032,0.5701865806451613,0.3214197196057348
2021-09-01,529.884540904652,535.9372669566761,526.2222747802734,532.3468170166016,532.3468170166016,2488531.8181818184,0.004395568698181044,523.0982934431596,519.502617409446,517.6527903539484,3.5956760337135942,0.011762887689533241,0.011121046587985227,23921.991,0.06,16390.6,5.1,-4.37,1.09,5.1,-1.95,2.09,0.0,-0.16317075516129032,0.5701865806451613,0.3214197196057348
2021-09-30,589.4052327473959,598.1700032552084,583.384759812128,590.7952386765253,590.7952386765253,3919880.9523809524,0.003445744297918853,569.798379225958,543.1356650506883,525.9355327569871,26.662714175269713,0.01306594273246466,0.013897185954376537,23921.991,0.06,16477.5,4.7,-4.37,1.09,5.1,-1.95,2.09,0.0,-0.23379795333333334,-0.16317075516129032,0.05773929071684583
2021-10-01,589.4052327473959,598.1700032552084,583.384759812128,590.7952386765253,590.7952386765253,3919880.9523809524,0.003445744297918853,569.798379225958,543.1356650506883,525.9355327569871,26.662714175269713,0.01306594273246466,0.013897185954376537,23921.991,0.06,16477.5,4.7,6.65,-2.72,-0.45,1.72,-1.44,0.0,-0.23379795333333334,-0.16317075516129032,0.05773929071684583
2021-10-31,639.2204735165551,648.8290434337798,632.4300013950893,642.2028488885788,642.2028488885788,4694109.523809524,0.006038782737888038,613.4649007161458,580.031987915039,536.4621061633882,33.43291280110678,0.016722031232229068,0.01803491208859798,24777.038,0.07,16694.0,4.5,6.65,-2.72,-0.45,1.72,-1.44,0.0,1.0337856129032257,-0.23379795333333334,0.212272301469534
